sku;slug;title;subtitle;author_name;publisher_name;isbn;barcode;edition_label;volume_number;volume_label;publication_year;page_count;language;description;sale_price;stock_minimum;status;location_label;category_name;genre_name;collection_name;source_name;source_url;confidence;raw_title;search_title;author_hint
CEDE-LIV-0225;em-busca-de-si-mesmo-225;"EM BUSCA DE SI MESMO";;"Tarcísio Voss";"Clube de Autores";;;;;;2013;105;;"O livro é o resultado de pesquisas filosóficas realizadas sobre alguns filósofos antigos, medievais, modernos e contemporâneos. Com base nas pesquisas o livro está dividido em três partes. A primeira, é um relato sobre a importância da reflexão, do exercício mental, da análise sobre nossas ações e de como nos colocamos no mundo constantemente. A segunda parte, é um relato de como os pensadores desenvolveram seus sistemas filosóficos e como isso contribuiu para que cada um, na sua individualidade, conhecesse a si mesmo. Na terceira parte, é um relato chamando a atenção sobre nossas crenças, sobre a verdade que estabelecemos para nós mesmos, sobre os prejuízos que defendemos sem fundamentos, de como nos colocamos no cotidiano com nossas crenças e nosso senso comum. Certamente o leitor após ler, refletir e praticar o conteúdo do livro passará por transformações e mudanças significativas para sua vida.";;;active;;;;;"Google Books";http://books.google.com.br/books?id=a8V7DwAAQBAJ&dq=intitle:%22EM+BUSCA+DE+SI+MESMO%22&hl=&as_pt=BOOKS&source=gbs_api;1.0000;"EM BUSCA DE SI MESMO";"EM BUSCA DE SI MESMO";
CEDE-LIV-0226;em-nome-de-deus-226;"EM NOME DE DEUS";;"Álvaro Caeiro";"Cordel D' Prata";9791220295758;9791220295758;;;;2021;280;;"“A vida é um enigma e a morte uma aberração que faz da vida um momento de transposição para o Além. É ténue a linha que separa a vida da morte. Só se começa a dar importância à vida quando se está a morrer. É aqui que o sobrenatural toma o seu lugar, na MORTE!""";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=7_wqEAAAQBAJ&source=gbs_api;1.0000;"EM NOME DE DEUS";"EM NOME DE DEUS";
CEDE-LIV-0227;em-torno-do-mestre-227;"EM TORNO DO MESTRE";;Vinícius;"FEB Editora";9788594661074;9788594661074;;;;2021;316;;"Procura esta obra, com mensagens claras, oferecer os ensinamentos de Jesus à luz do Espiritismo, para que possamos estar “em torno do Mestre”, saciando nossa fome de justiça e paz. Por meio de 135 mensagens, o objetivo do autor é tornar o Evangelho acessível a qualquer pessoa. Sua narrativa fundamenta-se na razão e no sentimento, auxiliando o leitor a caminhar na direção da luz e do bem. É um livro para a cabeceira da cama, para a reunião do Evangelho no lar ou ainda para ser utilizado nas exposições doutrinárias.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=nIFlEAAAQBAJ&source=gbs_api;1.0000;"Em torno do Mestre";"Em torno do Mestre";
CEDE-LIV-0228;emmanuel-228;EMMANUEL;;"Francisco Cândido Xavier";;;;;;;1987;;Inglês;;;;active;;;;;"Mensagem Espírita";https://www.mensagemespirita.com.br/livro/24888/emmanuel-francisco-candido-xavier;1.0000;EMMANUEL;EMMANUEL;
CEDE-LIV-0229;encontro-com-a-paz-e-a-saude-229;"ENCONTRO COM A PAZ E A SAÚDE";;"Divaldo Pereira Franco, Joanna de Ângelis";;9788582660041;9788582660041;;;;2007;;;"Joanna de Ângelis revela seus profundos conhecimentos de Psicologia Transpessoal, analisando as nuanças da alma humana, dissecando-lhe os sentimentos e as profundas transformações pelas quais passa o ser desde os primórdios da sua existência na Terra até os dias atuais. Os temas analisado, enriquecidos pelas sábias orientações e conselhos a quantos da autora, auxiliam todos aqueles que estejam experienciando na vida momentos de conflitos e angústias.";;;active;;;;;"Google Books";http://books.google.com.br/books?id=oFf3zwEACAAJ&dq=intitle:%22ENCONTRO+COM+A+PAZ+E+A+SA%C3%9ADE%22&hl=&as_pt=BOOKS&source=gbs_api;1.0000;"ENCONTRO COM A PAZ E A SAÚDE";"ENCONTRO COM A PAZ E A SAÚDE";
CEDE-LIV-0230;encontro-de-paz-230;"ENCONTRO DE PAZ";;"Chico Xavier";;9786586112412;9786586112412;;;;2023;;;"""Não procures o Reino de Deus aqui ou além, porque o Reino de Deus está dentro de ti."" Jesus Saibamos suprimir de sentimentos, ideias, atitudes, palavras e ações tudo o que se relacione com ressentimento, perturbação, ódio, azedume, amargura ou violência e, trabalhando e servindo no bem de todos, procuremos agir e pensar em paz, doando paz aos que nos compartilham a vida. Uma leitura inspiradora em que os Espíritos elevados, através da psicografia do médium Chico Xavier, parecem dialogar conosco, fazendo-nos pensar e refletir sobre diversos temas do cotidiano e a importância do equilíbrio e da paz íntima.";;;active;;;;;"Google Books";http://books.google.com.br/books?id=mTf4zwEACAAJ&dq=intitle:%22ENCONTRO+DE+PAZ%22&hl=&as_pt=BOOKS&source=gbs_api;1.0000;"ENCONTRO DE PAZ";"ENCONTRO DE PAZ";
CEDE-LIV-0231;entre-dois-mundos-231;"ENTRE DOIS MUNDOS";;"Anatol Rosenfeld";;;;;;;1967;;Português;;;;active;;;;;"Open Library";https://openlibrary.org/works/OL22546611W;1.0000;"ENTRE DOIS MUNDOS";"ENTRE DOIS MUNDOS";
CEDE-LIV-0232;entre-nossas-vidas-232;"ENTRE NOSSAS VIDAS";;"Osmar Barbosa";"Book Espírita Editora e Distribuidora Ltda";9788592620059;9788592620059;;;;2017;185;;"Entre nossas vidas existem grandes amores, mas qual é a razão de as paixões serem tão intensas, que por vezes até nos tiram os pés do chão, chegando até mesmo a nos tirar razão de viver? Às vezes, encontramos muitas dificuldades em compreender nossos sentimentos. Apaixonamo-nos por pessoas que saem de nossa vida sem nos dar sequer uma última chance, sem ao menos dizer adeus, e a dor que fica, levamos pelo resto de nossa caminha terrena. Algumas feridas são tão profundas, que não encontramos respostas em nenhum livro escrito ou até mesmo no mais sábio de todos os sábios escritores de nossa vasta literatura. Buscamos, por meio dos ensinamentos e do sofrimento, compreender a separação. Alguns reagem de forma bruta, uns ficam tristes e sofrem com a depressão, outros aprendem a viver com a dor, e assim, vão levando a vida, como se tudo fosse normal, mas sabem que dentro de si as coisas não vão bem. Falta o mais importante, falta aquele amor inesquecível. O amor sincero, o amor verdadeiro, a paixão que assola nosso ser, que estremece nosso corpo e atinge nossa alma, que traz secura em nossos lábios. Isso é a dor da alma ferida. As separações e as perdas fazem parte da vida, mas compreender isso quase sempre é impossível. E conviver com essa dor é para poucos. Nas linhas deste livro você vai encontrar respostas para alguns questionamentos que fazemos todos os dias. O amor de Mel e Rabi atravessa linhas inimagináveis do amor. Como se processam os reencontros na vida terrena? Estamos predestinados a viver ao lado de alguma pessoa? Na reencarnação podemos escolher o nosso par? Você encontrará as respostas para essas e outras perguntas em Entre Nossas Vidas.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=AjnVDgAAQBAJ&source=gbs_api;1.0000;"ENTRE NOSSAS VIDAS";"ENTRE NOSSAS VIDAS";
CEDE-LIV-0233;entre-o-amor-e-a-guerra-233;"ENTRE O AMOR E A GUERRA";;"Zibia Gasparetto";"Editora Vida e Consciência";9788577225811;9788577225811;;;;2015;430;;"Marcada por fortes emoções e permeada por uma constante atmosfera de tensão, a história de Entre o amor e a guerra se passa na Alemanha, em meio aos horrores da Segunda Guerra Mundial. Ditada pelo espírito Lucius, a obra traz o drama de Denizarth Lefreve, combatente francês que, gravemente ferido no front e prestes a ser capturado, assume a identidade de um oficial nazista que ele matara.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=1euVDwAAQBAJ&source=gbs_api;1.0000;"Entre o Amor e a Guerra - Nova Edição";"Entre o Amor e a Guerra - Nova Edição";
CEDE-LIV-0234;entre-a-terra-e-o-ceu-234;"ENTRE A TERRA E O CÉU";;"Francisco Cândido Xavier, André Luiz (Espírito)";"FEB Editora";9788573288513;9788573288513;;;;2021;302;;"Já diz o Espírito Emmanuel na apresentação desta obra: “Em quase todas as páginas deste livro, temos a vida comum das almas que aspiram à vitória sobre si mesmas, valendo-se dos tesouros do tempo, para a aquisição de luz renovadora”. A partir da psicografia de Francisco Cândido Xavier, o Espírito André Luiz nos conta a comovente história do trio formado por Zulmira, Amaro e Odila, cujo relacionamento nos planos terrestre e espiritual influenciou profundamente a trajetória de diversos Espíritos a eles relacionados, permeando em suas vidas desajustes familiares, ciúmes e lutas cotidianas. Apresentando diversas encarnações, o autor espiritual surpreende o leitor com conhecimentos e emoções. Preocupa-se em contribuir para o aprimoramento íntimo de cada ser que habita a realidade física, uma vez que considera verdadeira a premissa de que “a Lei é viva e a Justiça não falha!"". Recomenda que devemos esquecer o mal para sempre e semear o bem cada dia.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=IYsmDwAAQBAJ&source=gbs_api;0.9705;"ENTRE O TERRA E O CÉU";"ENTRE O TERRA E O CÉU";
CEDE-LIV-0237;esmeralda-237;ESMERALDA;;"Zibia Gasparetto";"Editora Vida e Consciência";9788577222865;9788577222865;;;;2013;603;;"Esmeralda era orgulhosa e absoluta. O mistério de sua dança arrancava olés e aplausos acalorados. Sempre desejada, despertava grandes paixões. Mas não amava ninguém, nem se importava com a dor dos seus apaixonados. Um dia, porém, Esmeralda encontrou um amor que arrastou consigo seu destino...";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=-zCUDwAAQBAJ&source=gbs_api;1.0000;Esmeralda;Esmeralda;
CEDE-LIV-0238;espelhos-da-alma-238;"ESPELHOS DA ALMA";"Uma Jornada Terapêutica";"Divaldo Pereira Franco, Joanna de Ângelis";;9788582660898;9788582660898;;;;2014;;;"Espelhos da Alma apresenta-nos temas da mais alta relevância, tais como: a estruturação do ego; a jornada heróica da alma; o conforto com a sombra; o autodescobrimento, entre outros - para que possamos - através de um processo singular de sublimação- alcançar a individuação, tornando-nos conscientes do verdadeiro sentido da vida.";;;active;;;;;"Google Books";http://books.google.com.br/books?id=wl76zwEACAAJ&dq=intitle:%22ESPELHOS+DA+ALMA:+Uma+jornada+terap%C3%AAutica%22&hl=&as_pt=BOOKS&source=gbs_api;1.0000;"ESPELHOS DA ALMA: Uma jornada terapêutica";"ESPELHOS DA ALMA: Uma jornada terapêutica";
CEDE-LIV-0239;espinhos-do-tempo-239;"ESPINHOS DO TEMPO";;"Zibia Gasparetto";"Editora Vida e Consciência";9788577226009;9788577226009;;;;2019;557;;"Espinhos do tempo traz a comovente história de Maria José, que, ainda muito jovem, se casou com um rico proprietário de terras do interior de São Paulo, com quem teve três filhos. Subitamente, o marido da moça adoece, e ela se vê na iminência de assumir as rédeas dos negócios da fazenda. Para essa empreitada, Maria José conta com a ajuda do cunhado Menelau, um brilhante advogado que tem com ela uma ligação de muitas vidas. Tendo como cenário o conturbado período de transição da Monarquia para a República no Brasil, uma sucessão de fatos concorrerá para o desenrolar da trama, e apenas o tempo será capaz de remover os espinhos cravados no destino de cada personagem. Uma história de aceitação e resignação, que demonstra que o verdadeiro amor é infindável e que exige responsabilidade e compromisso.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=f_6ZDwAAQBAJ&source=gbs_api;1.0000;"Espinhos do Tempo - Nova Edição";"Espinhos do Tempo - Nova Edição";
CEDE-LIV-0240;espiritismo-e-ecologia-240;"ESPIRITISMO E ECOLOGIA";;"André Trigueiro";"FEB Editora";9786555704563;9786555704563;;;;2022;164;;"O que o Espiritismo e a Ecologia têm em comum? O leitor se surpreenderá com as muitas afinidades existentes entre essas duas áreas do conhecimento que surgiram na mesma região do planeta há aproximadamente 150 anos, e que hoje despertam interesse e curiosidade crescentes. Espíritas e ecologistas utilizam a visão sistêmica para defender a biodiversidade, o uso sustentável dos recursos naturais, o consumo consciente, a primazia dos projetos coletivos em detrimento do individualismo. São tantas as afinidades, que certas obras espíritas poderiam perfeitamente embasar alguns postulados ecológicos. Que esta obra continue inspirando novas ideias e atitudes.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=u2R2EAAAQBAJ&source=gbs_api;1.0000;"ESPIRITISMO E ECOLOGIA";"ESPIRITISMO E ECOLOGIA";
CEDE-LIV-0241;espiritismo-e-reforma-intima-241;"ESPIRITISMO E REFORMA ÍNTIMA";;"Rino Curti";LAKE;9786555430325;9786555430325;;;;2020;128;;"Que importa crer na existência dos espíritos, se essa crença não nos tornar melhores, mais bondosos e mais indulgentes para os nossos semelhantes, mais humildes e mais pacientes na adversidade? (Allan Kardec – O Livro dos Médiuns, capítulo 3, item 28) Quantos realizam a contento sua programação reencarnatória no campo da evolução espiritual? Apesar de a doutrina espírita oferecer o conhecimento necessário para o processamento das transformações íntimas, ainda encontramos enorme dificuldade para realizá-las em nós. Se a reforma íntima não é o objetivo do espiritismo, fato é que o espiritismo, por excelência, é uma doutrina transformadora. Bem compreendido e praticado, o espiritismo leva o indivíduo naturalmente a uma mudança de postura. Esta é a proposta do jornalista Wilson Garcia neste livro: mostrar como encetar essa reforma, de maneira consciente e constante, pois cada dia é um desafio para essa transformação.";;;active;;;;;LAKE;https://www.lake.org.br/espiritismo-e-reforma-intima-1/p;1.0000;"ESPIRITISMO E REFORMA ÍNTIMA";"ESPIRITISMO E REFORMA ÍNTIMA";
CEDE-LIV-0242;espiritismo-passo-a-passo-com-kardec-242;"ESPIRITISMO PASSO A PASSO COM KARDEC";;"Christiano Torchi";"FEB Editora";9788569452218;9788569452218;;;;2021;453;;"Os estudiosos da Doutrina Espírita encontrarão neste livro de Christiano Torchi valioso material sobre o Espiritismo. Material esse calcado na obra kardequiana e contextualizado de tal modo que o leitor moderno tem a impressão de que a Codificação Espírita é da época atual. Todos que leem esta obra admiram-se de sua fidelidade aos ensinos do eminente Codificador Allan Kardec e de como ela trata de assuntos tão variados e profundos, de forma didática, sempre contextualizada com fatos da atualidade, e com linguagem agradável, leve e convidativa. Fiel aos princípios do Pentateuco Kardequiano, refere-se também às obras complementares, mediúnicas ou não, enriquecendo o pensamento religioso, principalmente quando recorre a André Luiz e Emmanuel, entre outros Espíritos de escol, e a pensadores encarnados, brasileiros e estrangeiros, no afã de informar com responsabilidade e clareza.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=joFlEAAAQBAJ&source=gbs_api;1.0000;"ESPIRITISMO PASSO A PASSO COM KARDEC";"ESPIRITISMO PASSO A PASSO COM KARDEC";
CEDE-LIV-0243;espiritismo-o-que-deseja-saber-243;"ESPIRITISMO, O QUE DESEJA SABER?";;"Álvaro Vargas";"Editora EME";9786555430981;9786555430981;;;;2023;171;;"Álvaro Vargas é palestrante e julgou que seria instigante elaborar um livro onde cada capítulo fosse um questionamento acerca dos princípios fundamentais do espiritismo. Com sua vasta experiência visitando os centros espíritas, e conhecendo as dúvidas mais recorrentes dos seus frequentadores, produziu essa obra fundamental para aqueles que buscam compreender melhor algumas questões que permeiam a existência humana. Através das revelações trazidas pela doutrina espírita, Álvaro atinge seu propósito de apresentar de forma clara e objetiva ensinamentos sobre diversos assuntos, como suicídio, eutanásia, mortes coletivas, crianças autistas, escravidão no Brasil e muitos outros. Para o iniciante será uma obra de relevância, pois poderá ter uma visão geral das ideias espíritas sobre temas de grande interesse geral. Para os estudiosos e veteranos do espiritismo, será um reforço e uma recapitulação dos estudos fundamentais da doutrina.";;;active;;;;;"Google Books";https://play.google.com/store/books/details?id=kaO_EAAAQBAJ&source=gbs_api;1.0000;"ESPIRITISMO, O QUE DESEJA SABER?";"ESPIRITISMO, O QUE DESEJA SABER?";
CEDE-LIV-0244;vida-espirito-e-materia-244;"VIDA, ESPÍRITO E MATÉRIA";;"Erwin Schrödinger";;;;;;;1963;226;;;;;active;;;;;"Google Books";http://books.google.com.br/books?id=427lGwAACAAJ&dq=intitle:%22ESP%C3%8DRITO+E+MAT%C3%89RIA%22&hl=&as_pt=BOOKS&source=gbs_api;0.9244;"ESPÍRITO E MATÉRIA";"ESPÍRITO E MATÉRIA";
CEDE-LIV-0245;espiritualidade-e-educacao-245;"ESPIRITUALIDADE E EDUCAÇAO";;"Regis de Morais";;9788587715241;9788587715241;;;;;224;;"Dono de texto didático e rico, Regis de Morais passeia pela filosofia, pela pedagogia e pela religião para construir as bases de uma nova educação para o século XXI. O livro nos revela um caminho para se combater o materialismo que exacerbou no século XX, invadindo ao homem um vazio difícil de ser preenchido apenas com palavras.";;;active;;;;;"Google Books";http://books.google.com.br/books?id=xgu0cQAACAAJ&dq=intitle:%22ESPIRITUALIDADE+E+EDUCA%C3%87%C3%83O%22&hl=&as_pt=BOOKS&source=gbs_api;1.0000;"ESPIRITUALIDADE E EDUCAÇÃO";"ESPIRITUALIDADE E EDUCAÇÃO";
