status;raw_title;search_title;author_hint;best_title;best_subtitle;best_authors;best_publisher;best_isbn;best_year;best_page_count;source_name;source_url;confidence;source_query
sem-match-forte;"ALVORADA NOVA";"ALVORADA NOVA";;Alvorada;"nova cultivar de cenoura para plantio de verao";"J.V. Vieira";;;2000;;"Google Books";http://books.google.com.br/books?id=HntAygAACAAJ&dq=intitle:%22ALVORADA+NOVA%22&hl=&as_pt=BOOKS&source=gbs_api;0.6971;"intitle:""ALVORADA NOVA"""
sem-match-forte;"AMAI-VOS E INSTRUÍ-VOS";"AMAI-VOS E INSTRUÍ-VOS";;"Vida e valores: volume 2 (FEP)";;"Federação Espírita do Paraná";FEP;9786587753461;2022;166;"Google Books";https://play.google.com/store/books/details?id=DG9_EAAAQBAJ&source=gbs_api;0.2974;"AMAI-VOS E INSTRUÍ-VOS"
sem-match-forte;"ANDAI enquanto tendes LUZ";"ANDAI enquanto tendes LUZ";;"Sermões Reunidos";;"Nelson Malzoni";"Clube de Autores";;2020;660;"Google Books";http://books.google.com.br/books?id=RAsCEAAAQBAJ&dq=ANDAI+enquanto+tendes+LUZ&hl=&as_pt=BOOKS&source=gbs_api;0.1815;"ANDAI enquanto tendes LUZ"
sem-match-forte;"ANDRÉ LUIZ EM REFLEXÃO";"ANDRÉ LUIZ EM REFLEXÃO";;"Meditações diárias - André Luiz";;"Chico Xavier, André Luiz (Espírito)";;9788573414400;2019;0;"Google Books";http://books.google.com.br/books?id=eCb2zwEACAAJ&dq=ANDR%C3%89+LUIZ+EM+REFLEX%C3%83O&hl=&as_pt=BOOKS&source=gbs_api;0.4331;"ANDRÉ LUIZ EM REFLEXÃO"
sem-match-forte;"APRENDENDO SOBRE O ESPÍRITO";"APRENDENDO SOBRE O ESPÍRITO";;"Contos. Precedido d'um estudo bibliographico por J. Simões Dias";;"Álvaro do CARVALHAL";;;1876;362;"Google Books";https://play.google.com/store/books/details?id=SLU7dH2osBsC&source=gbs_api;0.2255;"APRENDENDO SOBRE O ESPÍRITO"
sem-match-forte;"AS FORÇAS NATURAIS DESCONHECIDAS";"AS FORÇAS NATURAIS DESCONHECIDAS";;"Páginas desconhecidas";;"Joaquim Pedro Oliveira Martins";;;1948;394;"Google Books";http://books.google.com.br/books?id=IVUaAAAAIAAJ&dq=AS+FOR%C3%87AS+NATURAIS+DESCONHECIDAS&hl=&as_pt=BOOKS&source=gbs_api;0.5161;"AS FORÇAS NATURAIS DESCONHECIDAS"
sem-match-forte;"AS MÃES DE CHICO";"AS MÃES DE CHICO";;"When I Was a Dancer";;"Robert W. Mc Intyre";"Xlibris Corporation";9781462819041;2003;270;"Google Books";https://play.google.com/store/books/details?id=RB0p6Csl3pUC&source=gbs_api;0.2480;"AS MÃES DE CHICO"
sem-match-forte;"ASPECTOS DA OBSESSÃO";"ASPECTOS DA OBSESSÃO";;"Obsessão e delírio";"neurose e psicose";"Eustachio Portella Nunes";;;1976;160;"Google Books";http://books.google.com.br/books?id=TZxgAAAAMAAJ&dq=ASPECTOS+DA+OBSESS%C3%83O&hl=&as_pt=BOOKS&source=gbs_api;0.3038;"ASPECTOS DA OBSESSÃO"
sem-match-forte;"ATENÇÃO - CHICO XAVIER";"ATENÇÃO - CHICO XAVIER";;Atenção;;"Francisco C. Xavier";"Ide Editora";9788573415438;2024;81;"Google Books";https://play.google.com/store/books/details?id=twN5EQAAQBAJ&source=gbs_api;0.5281;"intitle:""ATENÇÃO - CHICO XAVIER"""
sem-match-forte;"AUTISMO E ESPIRITISMO - Acolhimento e terapia mentomagnética - Vol 1";"AUTISMO E ESPIRITISMO - Acolhimento e terapia mentomagnética - Vol 1";;;;;;;;;;;0.0000;
